char_name,nu03,nu11,nu12,on_pixel_frac,on_pixel_x_var,on_pixel_y_var,font_name,dct_0,dct_1,dct_2,dct_3,dct_4,dct_5
eight,-0.00015564951238323198,2.4692005630065824e-05,-0.00032444613091278353,0.04170905391658189,7.438429506246282,7.709696609161213,calibrii,7761.562500000001,-5.434853306498,-144.5968804046692,470.84963417733013,-1.9045696327699022,406.22788244182846
nine,-0.00018244627716087195,-5.2690692788965774e-05,-0.00045134292883374785,0.03959390862944162,6.78895463510848,7.668639053254438,calibrii,7793.437500000002,-8.65189380104189,-206.68498029617743,431.4928432568164,-5.603882932218486,282.1111863277587
comma,0.00019159721113937278,0.0002921388399372717,-0.00012759586167878178,0.005893909626719057,0.6666666666666666,0.9166666666666666,calibrii,8112.187500000001,29.73677664378118,-52.20575431058878,40.305292769864664,32.50962259648486,-13.127918687247142
zero,-9.152537047409078e-05,8.740264197062609e-05,0.000465147871752899,0.028112449799196786,7.566326530612246,7.748724489795919,calibril,7881.093750000001,-5.840091471611041,239.69679783029494,317.4047134346972,5.626301368496685,69.0619766611474
one,6.80195879128914e-05,-7.906114338086752e-05,0.00031288534233298373,0.01890547263681592,9.94459833795014,3.2853185595567864,calibril,7944.843750000001,-27.47831881321226,200.18661861457295,249.67005129503676,21.344843078157233,33.76060215383287
two,3.9563247664591635e-05,9.032874269544212e-06,0.0003827858633285522,0.022977022977022976,9.516068052930057,3.844990548204158,calibril,7777.500000000001,21.084660255048927,338.2035858642995,407.3516537253554,-12.147245383908626,73.0014156461267
three,-2.7795151674098032e-05,5.148000000001048e-05,0.00029978987232560467,0.024,8.972222222222221,4.25,calibril,7857.187500000001,0.10523012735676895,220.01866358772568,343.9092706237957,-1.9621982141725864,155.67261398560396
four,-0.0001164804405411575,6.77420052993794e-05,0.0003292804471174989,0.03434343434343434,5.7612456747404845,4.674740484429065,calibril,7857.187500000001,-5.145323402520745,140.9186267302942,377.8013646882632,3.8217371812943153,292.81885870545426
five,-0.0001002962018226689,-6.649667647318295e-07,0.00011197002443174969,0.02708124373119358,9.62962962962963,6.17283950617284,calibril,7817.343750000001,-7.046750560508445,99.37543463829451,398.7721827148271,-1.2885304687610226,369.0170708078308
six,1.8721849164394016e-05,1.1823088895902575e-05,-7.12363800723686e-06,0.02708124373119358,8.469135802469138,7.135802469135802,calibril,7777.500000000001,2.3111681852839108,-3.370096580559178,453.81055791803306,-3.0316458841697824,447.1238519961648
seven,-0.0003155086319146027,-2.1497002735219966e-05,-3.4830539974939094e-05,0.0199203187250996,7.739999999999999,4.81,calibril,7857.187500000001,-96.48358840456244,-49.612313525784586,301.5148854496771,-2.707528909279246,373.77952641715314
eight,-5.9198232676611605e-05,1.1813884173855722e-05,-0.0002953523906882118,0.03434343434343434,8.076989619377164,6.831314878892734,calibril,7761.562500000001,-5.434853306498,-144.5968804046692,470.84963417733013,-1.9045696327699022,406.22788244182846
nine,-0.00012731304954629273,-7.691050084794078e-05,-0.000297560010523204,0.025025025025025027,8.7744,7.270400000000002,calibril,7793.437500000002,-8.65189380104189,-206.68498029617743,431.4928432568164,-5.603882932218486,282.1111863277587
comma,9.486567962907212e-05,0.00012867880174121648,-5.675694525987757e-05,0.002938295788442703,0.6666666666666666,0.22222222222222224,calibril,8112.187500000001,29.73677664378118,-52.20575431058878,40.305292769864664,32.50962259648486,-13.127918687247142
zero,-6.212090352617806e-05,0.00010642194668060614,0.0004252742585117575,0.025025025025025027,8.6944,7.2704,calibrili,7881.093750000001,-5.840091471611041,239.69679783029494,317.4047134346972,5.626301368496685,69.0619766611474
one,5.7278444724696674e-05,8.860729225007947e-06,0.0003848042028591122,0.021956087824351298,9.512396694214878,3.489669421487603,calibrili,7944.843750000001,-27.47831881321226,200.18661861457295,249.67005129503676,21.344843078157233,33.76060215383287
two,5.9041731081277906e-05,3.631645700179357e-05,0.0003071148963155667,0.0199203187250996,10.327500000000004,5.390000000000001,calibrili,7777.500000000001,21.084660255048927,338.2035858642995,407.3516537253554,-12.147245383908626,73.0014156461267
three,-0.00011881616930086324,0.0001509161749122237,0.00036487538856769133,0.02708124373119358,8.735253772290811,4.91358024691358,calibrili,7857.187500000001,0.10523012735676895,220.01866358772568,343.9092706237957,-1.9621982141725864,155.67261398560396
four,-3.940956716677391e-05,7.423814084219986e-05,0.0002524232755249779,0.02708124373119358,5.393689986282579,5.53360768175583,calibrili,7857.187500000001,-5.145323402520745,140.9186267302942,377.8013646882632,3.8217371812943153,292.81885870545426
five,-4.4969396579524986e-05,6.51763335367854e-05,0.00011360134826248439,0.025025025025025027,9.862400000000001,6.2976,calibrili,7817.343750000001,-7.046750560508445,99.37543463829451,398.7721827148271,-1.2885304687610226,369.0170708078308
six,-4.968491824201919e-05,6.374772186855722e-05,-6.892844675971156e-06,0.026052104208416832,8.715976331360945,7.0946745562130165,calibrili,7777.500000000001,2.3111681852839108,-3.370096580559178,453.81055791803306,-3.0316458841697824,447.1238519961648
seven,-0.000274242417015897,8.371199999999953e-05,-2.088454383112766e-05,0.024,8.0,5.472222222222221,calibrili,7857.187500000001,-96.48358840456244,-49.612313525784586,301.5148854496771,-2.707528909279246,373.77952641715314
eight,-0.0001332590571966281,3.916524700117773e-05,-0.00024622397095139785,0.03434343434343434,7.9411764705882355,7.66522491349481,calibrili,7761.562500000001,-5.434853306498,-144.5968804046692,470.84963417733013,-1.9045696327699022,406.22788244182846
nine,-0.00021749676029220045,-4.937695725922908e-05,-0.00032871643740729523,0.02914572864321608,8.247324613555291,8.653983353151013,calibrili,7793.437500000002,-8.65189380104189,-206.68498029617743,431.4928432568164,-5.603882932218486,282.1111863277587
comma,0.00019159721113937278,0.0002921388399372717,-0.00012759586167878178,0.005893909626719057,0.6666666666666666,0.9166666666666666,calibrili,8112.187500000001,29.73677664378118,-52.20575431058878,40.305292769864664,32.50962259648486,-13.127918687247142
zero,-0.000176896719472516,0.00026005455250426257,0.0009303048011657789,0.050256410256410255,7.118700541441065,7.996668054977093,calibriz,7881.093750000001,-5.840091471611041,239.69679783029494,317.4047134346972,5.626301368496685,69.0619766611474
one,-0.00011485601086834123,0.00017362239880251262,0.0007447423738378012,0.03959390862944162,8.6758711374096,3.3780407626561475,calibriz,7944.843750000001,-27.47831881321226,200.18661861457295,249.67005129503676,21.344843078157233,33.76060215383287
two,-0.00010571150694962924,0.0002473942406304118,0.0007393312486758737,0.04383282364933741,8.477014602487833,6.255273120605733,calibriz,7777.500000000001,21.084660255048927,338.2035858642995,407.3516537253554,-12.147245383908626,73.0014156461267
three,-0.000129659607559288,0.00019328419824983758,0.0005981962391014104,0.04383282364933741,8.381828015143318,6.583017847485126,calibriz,7857.187500000001,0.10523012735676895,220.01866358772568,343.9092706237957,-1.9621982141725864,155.67261398560396
four,-0.000238099282889764,0.0001858799893219838,0.0004843948286542494,0.048106448311156604,5.584427342689,6.114984155726572,calibriz,7857.187500000001,-5.145323402520745,140.9186267302942,377.8013646882632,3.8217371812943153,292.81885870545426
five,-0.0002608284322859246,0.0001268986561721513,0.00023271283801452262,0.044897959183673466,8.402892561983471,5.9772727272727275,calibriz,7817.343750000001,-7.046750560508445,99.37543463829451,398.7721827148271,-1.2885304687610226,369.0170708078308
six,-6.928670282900353e-05,5.471583294605336e-05,-3.324487610825686e-05,0.0513347022587269,6.657599999999999,7.050000000000001,calibriz,7777.500000000001,2.3111681852839108,-3.370096580559178,453.81055791803306,-3.0316458841697824,447.1238519961648
seven,-0.00033470345225734333,0.00013086690003859402,-1.8662356703589523e-05,0.03643724696356275,7.277777777777778,5.0555555555555545,calibriz,7857.187500000001,-96.48358840456244,-49.612313525784586,301.5148854496771,-2.707528909279246,373.77952641715314
eight,-0.00024303958226216396,3.276462588156336e-05,-0.0004317602462121829,0.05675954592363261,7.2905785123966975,7.107438016528926,calibriz,7761.562500000001,-5.434853306498,-144.5968804046692,470.84963417733013,-1.9045696327699022,406.22788244182846
